order_id,customer_id,order_date,total_amount
1001,5,2024-01-10,1327.43
1002,19,2024-01-19,69.98
1003,2,2024-01-20,632.0
1004,19,2024-01-15,870.98
1005,17,2024-01-16,469.91
1006,14,2024-01-06,445.99
1007,19,2024-01-26,309.89
1008,3,2024-01-09,609.9
1009,23,2024-01-13,599.97
1010,2,2024-01-07,566.0
1011,15,2024-01-13,501.93
1012,22,2024-01-13,256.5
1013,22,2024-01-08,395.0
1014,9,2024-01-10,342.0
1015,12,2024-01-20,842.49
1016,13,2024-01-13,1059.96
1017,6,2024-01-04,179.97
1018,4,2024-01-12,240.0
1019,13,2024-01-05,569.91
1020,15,2024-01-16,285.43
1021,23,2024-01-06,427.5
1022,5,2024-01-23,59.97
1023,3,2024-01-23,743.97
1024,25,2024-01-17,431.96
1025,8,2024-01-07,1074.49
1026,15,2024-01-26,477.49
1027,11,2024-01-07,679.91
1028,4,2024-01-13,395.0
1029,24,2024-01-13,539.98
1030,15,2024-01-26,336.95
1031,18,2024-01-18,144.99
1032,24,2024-01-05,827.48
1033,11,2024-01-09,635.43
1034,5,2024-01-18,579.95
1035,20,2024-01-01,566.0
1036,4,2024-01-18,249.95
1037,18,2024-01-16,19.99
1038,7,2024-01-09,600.0
1039,18,2024-01-01,237.0
1040,17,2024-01-20,469.97
1041,16,2024-01-17,374.9
1042,15,2024-01-05,1036.0
1043,22,2024-01-10,256.5
1044,9,2024-01-05,914.5
1045,13,2024-01-11,741.46
1046,15,2024-01-15,237.0
1047,20,2024-01-10,240.0
1048,3,2024-01-09,576.98
1049,5,2024-01-18,753.97
1050,1,2024-01-21,49.99
1051,8,2024-01-03,919.96
1052,20,2024-01-05,39.98
1053,6,2024-01-09,171.0
1054,21,2024-01-10,239.94
1055,12,2024-01-26,49.99
1056,1,2024-01-24,421.96
1057,22,2024-01-27,289.87
1058,7,2024-02-26,477.0
1059,3,2024-02-20,377.96
1060,22,2024-02-09,554.97
1061,6,2024-02-08,655.44
1062,7,2024-02-11,439.0
1063,9,2024-02-16,547.5
1064,3,2024-02-04,298.94
1065,19,2024-02-16,361.95
1066,16,2024-02-04,774.93
1067,14,2024-02-23,119.94
1068,19,2024-02-25,360.0
1069,12,2024-02-03,689.93
1070,9,2024-01-31,1224.94
1071,3,2024-02-27,829.0
1072,16,2024-02-21,1249.98
1073,11,2024-02-08,264.45
1074,9,2024-02-21,49.98
1075,16,2024-02-09,434.98
1076,3,2024-02-15,199.96
1077,17,2024-02-14,263.49
1078,24,2024-02-16,249.92
1079,12,2024-02-07,1135.96
1080,10,2024-02-23,474.0
1081,11,2024-01-31,464.95
1082,10,2024-02-08,1235.0
1083,25,2024-02-08,49.99
1084,22,2024-02-09,651.5
1085,7,2024-02-24,278.91
1086,24,2024-02-02,99.96
1087,20,2024-02-24,153.97
1088,5,2024-02-05,694.94
1089,16,2024-02-17,609.94
1090,8,2024-02-14,914.5
1091,6,2024-02-10,99.98
1092,9,2024-02-25,796.0
1093,17,2024-02-06,979.9
1094,17,2024-02-16,702.0
1095,21,2024-02-14,531.45
1096,3,2024-02-12,588.99
1097,23,2024-02-20,910.99
1098,23,2024-02-09,154.93
1099,25,2024-02-03,360.0
1100,19,2024-02-06,919.93
1101,11,2024-02-20,822.5
1102,1,2024-02-13,561.96
1103,9,2024-02-07,353.91
1104,22,2024-02-12,484.95
1105,7,2024-02-15,441.98
1106,9,2024-02-24,1166.0
1107,14,2024-02-21,39.98
1108,7,2024-03-01,103.99
1109,13,2024-03-15,364.97
1110,21,2024-03-17,767.93
1111,1,2024-03-03,478.98
1112,12,2024-03-25,815.5
1113,15,2024-03-07,1021.96
1114,13,2024-03-02,304.94
1115,9,2024-03-11,149.97
1116,10,2024-03-01,240.0
1117,16,2024-03-23,980.5
1118,10,2024-03-27,189.95
1119,12,2024-03-26,39.98
1120,25,2024-03-06,103.99
1121,18,2024-03-18,711.95
1122,7,2024-03-04,1224.0
1123,8,2024-03-24,149.97
1124,19,2024-03-09,662.97
1125,8,2024-03-05,326.97
1126,17,2024-03-17,124.95
1127,4,2024-03-01,611.97
1128,20,2024-03-27,399.98
1129,20,2024-03-09,600.0
1130,20,2024-03-12,459.98
1131,7,2024-03-09,39.98
1132,11,2024-03-14,562.99
1133,18,2024-03-16,79.0
1134,22,2024-03-18,364.95
1135,23,2024-03-09,678.88
1136,1,2024-03-28,451.48
1137,6,2024-03-14,480.0
1138,12,2024-03-15,685.5
1139,21,2024-03-26,955.92
1140,10,2024-03-06,436.0
1141,10,2024-03-05,237.0
1142,20,2024-03-21,779.92
1143,7,2024-03-27,1250.0
1144,4,2024-03-05,649.98
1145,2,2024-03-22,619.93
1146,14,2024-03-10,390.97
1147,17,2024-03-15,199.96
1148,8,2024-03-15,860.96
1149,15,2024-04-16,240.0
1150,24,2024-04-10,600.0
1151,21,2024-04-25,139.99
1152,5,2024-04-15,590.97
1153,11,2024-04-19,565.95
1154,9,2024-04-19,389.97
1155,13,2024-04-05,282.96
1156,2,2024-04-20,519.94
1157,18,2024-04-20,781.38
1158,25,2024-04-02,590.91
1159,19,2024-04-21,220.98
1160,20,2024-04-20,1214.49
1161,2,2024-03-31,600.0
1162,10,2024-04-03,684.93
1163,7,2024-04-11,539.98
1164,21,2024-04-04,481.95
1165,20,2024-04-20,490.91
1166,18,2024-03-31,476.45
1167,7,2024-04-04,667.39
1168,10,2024-04-02,249.9
1169,13,2024-04-27,1110.96
1170,21,2024-04-01,149.97
1171,2,2024-04-08,924.9
1172,6,2024-04-08,306.48
1173,13,2024-04-10,711.0
1174,23,2024-03-31,158.0
1175,10,2024-04-25,414.99
1176,6,2024-04-04,120.0
1177,20,2024-04-05,291.0
1178,3,2024-04-23,600.0
1179,7,2024-04-26,99.96
1180,8,2024-04-06,240.0
1181,21,2024-04-09,829.93
1182,1,2024-04-11,374.91
1183,16,2024-04-27,493.99
1184,12,2024-04-15,99.95
1185,23,2024-04-27,59.97
1186,14,2024-03-31,409.99
1187,4,2024-04-15,644.95
1188,19,2024-04-05,449.0
1189,23,2024-04-17,74.97
1190,4,2024-04-12,353.94
1191,18,2024-05-16,316.0
1192,20,2024-05-24,249.95
1193,17,2024-05-04,778.92
1194,8,2024-05-04,347.95
1195,20,2024-05-04,356.45
1196,6,2024-05-07,366.99
1197,13,2024-05-04,386.97
1198,4,2024-05-20,99.98
1199,15,2024-05-01,316.0
1200,8,2024-05-16,415.46
1201,24,2024-05-07,803.41
1202,4,2024-05-14,490.96
1203,14,2024-05-15,1119.95
1204,13,2024-05-26,590.93
1205,12,2024-05-03,234.9
1206,11,2024-05-13,1215.99
1207,9,2024-05-12,896.97
1208,8,2024-05-09,612.48
1209,7,2024-05-15,356.46
1210,10,2024-05-24,493.5
1211,13,2024-05-21,311.97
1212,8,2024-05-20,535.95
1213,12,2024-05-04,778.98
1214,12,2024-05-20,24.99
1215,3,2024-05-20,1020.95
1216,25,2024-05-14,993.5
1217,20,2024-05-25,124.95
1218,10,2024-05-06,194.92
1219,4,2024-05-08,822.99
1220,23,2024-05-15,257.95
1221,1,2024-05-05,869.0
1222,14,2024-05-21,256.5
1223,21,2024-04-30,19.99
1224,24,2024-05-10,79.96
1225,25,2024-05-04,342.0
1226,5,2024-05-10,74.97
1227,16,2024-05-24,399.92
1228,18,2024-05-01,715.92
1229,17,2024-05-11,459.96
1230,11,2024-05-22,932.49
1231,18,2024-05-12,237.0
1232,1,2024-05-01,419.99
1233,18,2024-05-19,275.42
1234,21,2024-05-14,720.0
1235,21,2024-04-30,416.45
1236,2,2024-05-10,395.0
1237,19,2024-05-01,714.91
1238,3,2024-04-30,485.92
1239,21,2024-05-15,164.5
1240,22,2024-05-21,240.0
1241,5,2024-05-15,249.95
1242,15,2024-05-23,409.98
1243,25,2024-05-02,461.91
1244,23,2024-05-01,120.0
1245,22,2024-05-26,237.0
1246,24,2024-05-19,755.0
1247,19,2024-05-23,443.44
1248,13,2024-05-24,549.86
1249,20,2024-05-23,427.5
1250,19,2024-05-13,415.96
1251,25,2024-05-07,827.42
1252,10,2024-05-26,289.93
1253,25,2024-05-15,435.94
1254,25,2024-05-23,729.95
1255,23,2024-05-06,355.98
1256,12,2024-05-24,342.0
1257,17,2024-05-08,605.98
1258,3,2024-05-05,704.92
1259,2,2024-06-14,699.96
1260,20,2024-05-30,389.94
1261,19,2024-06-14,228.97
1262,25,2024-06-17,149.97
1263,13,2024-06-01,120.0
1264,12,2024-06-26,428.93
1265,8,2024-06-19,124.95
1266,6,2024-06-13,149.96
1267,2,2024-06-07,969.95
1268,24,2024-06-19,691.47
1269,19,2024-06-13,237.0
1270,9,2024-06-11,199.96
1271,6,2024-06-13,243.5
1272,6,2024-06-25,699.98
1273,4,2024-06-11,24.99
1274,11,2024-06-09,153.97
1275,11,2024-06-06,342.0
1276,5,2024-06-13,357.96
1277,1,2024-06-07,659.94
1278,16,2024-06-02,69.97
1279,16,2024-06-25,853.5
1280,8,2024-06-02,445.93
1281,17,2024-06-09,138.97
1282,12,2024-06-12,158.0
1283,19,2024-06-04,598.5
1284,20,2024-06-01,79.96
1285,6,2024-06-05,99.95
1286,1,2024-06-01,334.89
1287,1,2024-06-12,727.47
1288,12,2024-06-17,249.95
1289,17,2024-06-01,99.98
1290,25,2024-06-21,564.94
1291,17,2024-06-24,480.0
1292,6,2024-06-04,149.97
1293,1,2024-05-30,49.98
1294,1,2024-06-25,739.94
1295,9,2024-06-02,1054.97
1296,18,2024-06-17,295.95
1297,24,2024-06-11,579.96
1298,20,2024-06-15,79.0
1299,11,2024-06-11,259.93
1300,18,2024-05-31,456.95
1301,21,2024-05-30,885.46
1302,17,2024-06-20,171.0
1303,13,2024-06-23,519.89
1304,21,2024-06-16,19.99
1305,4,2024-06-15,158.0
1306,4,2024-07-08,269.93
1307,3,2024-07-13,118.98
1308,14,2024-07-17,249.92
1309,15,2024-07-18,527.46
1310,12,2024-07-13,556.96
1311,8,2024-07-05,860.91
1312,16,2024-07-07,804.0
1313,20,2024-07-26,395.96
1314,25,2024-07-02,286.98
1315,12,2024-07-03,349.9
1316,24,2024-07-26,758.93
1317,16,2024-07-11,336.95
1318,13,2024-07-26,794.9
1319,20,2024-07-11,895.98
1320,10,2024-07-24,790.0
1321,3,2024-07-25,848.45
1322,1,2024-06-30,579.86
1323,14,2024-07-15,504.96
1324,3,2024-07-15,729.95
1325,21,2024-07-16,658.0
1326,25,2024-07-18,406.44
1327,12,2024-07-01,474.95
1328,14,2024-07-19,99.95
1329,7,2024-07-12,619.99
1330,19,2024-07-19,99.96
1331,1,2024-07-08,199.96
1332,19,2024-06-29,171.0
1333,25,2024-07-16,204.91
1334,20,2024-07-02,447.49
1335,4,2024-07-01,474.96
1336,2,2024-07-19,124.95
1337,5,2024-07-21,235.47
1338,21,2024-07-02,99.98
1339,20,2024-07-11,240.0
1340,19,2024-07-23,79.0
1341,8,2024-07-06,279.98
1342,1,2024-07-26,680.93
1343,23,2024-07-17,553.0
1344,8,2024-07-01,414.5
1345,10,2024-07-11,639.92
1346,3,2024-07-02,1083.92
1347,14,2024-06-30,295.97
1348,7,2024-07-07,237.96
1349,12,2024-07-10,494.96
1350,10,2024-07-14,391.98
1351,9,2024-07-18,534.93
1352,25,2024-07-02,59.97
1353,25,2024-07-23,1361.49
1354,6,2024-07-23,124.97
1355,12,2024-08-23,400.47
1356,5,2024-08-24,615.93
1357,12,2024-08-19,520.96
1358,21,2024-08-01,299.94
1359,8,2024-08-20,79.0
1360,6,2024-08-11,178.98
1361,10,2024-08-18,119.94
1362,17,2024-08-06,1134.94
1363,23,2024-07-30,384.99
1364,25,2024-08-09,316.0
1365,20,2024-08-24,609.95
1366,15,2024-08-08,806.97
1367,2,2024-08-20,658.47
1368,2,2024-08-03,514.93
1369,5,2024-08-19,970.92
1370,21,2024-08-09,527.45
1371,4,2024-08-15,768.96
1372,12,2024-08-13,269.97
1373,4,2024-08-20,651.5
1374,12,2024-08-07,139.99
1375,25,2024-08-13,74.97
1376,19,2024-08-06,99.96
1377,16,2024-08-04,844.95
1378,21,2024-08-20,314.97
1379,25,2024-08-10,577.47
1380,6,2024-08-01,581.41
1381,8,2024-08-09,159.95
1382,2,2024-08-01,963.95
1383,21,2024-07-31,220.98
1384,21,2024-08-10,480.0
1385,7,2024-08-04,377.95
1386,3,2024-08-19,79.96
1387,3,2024-08-12,49.98
1388,6,2024-08-10,579.95
1389,3,2024-08-15,524.94
1390,20,2024-08-17,360.0
1391,22,2024-08-07,419.9
1392,8,2024-08-19,782.4
1393,17,2024-08-05,667.99
1394,9,2024-08-18,427.5
1395,9,2024-08-20,710.44
1396,17,2024-08-16,79.0
1397,5,2024-08-25,124.95
1398,15,2024-08-24,802.98
1399,2,2024-08-10,480.0
1400,20,2024-08-04,218.95
1401,4,2024-08-21,356.46
1402,4,2024-08-05,899.91
1403,4,2024-08-09,409.96
1404,23,2024-08-12,79.96
1405,1,2024-08-13,360.0
1406,5,2024-08-15,777.41
1407,25,2024-08-23,781.0
1408,16,2024-08-25,120.0
1409,20,2024-08-24,515.91
1410,12,2024-08-08,199.93
1411,7,2024-08-03,665.91
